rank,name,elo,bestWin,bestWinElo,GCs
317,InMotion / Mt. Pleasant Community High School,1493,Swingspan / Fort Madison High School,1611,1
318,Gold Dust / Holdrege High School,1492,N/A,-1,0
319,Harmonics / Alliance High School,1492,N/A,-1,0
320,HighLeit / DeKalb School of the Arts,1491,N/A,-1,0
321,Vintage 2016 / Neenah High School,1490,N/A,-1,0
322,Radica / Briarwood Christian School,1490,N/A,-1,0
323,Charisma / Lebanon High School,1489,N/A,-1,0
324,Southwest Effect / Fort Worth Southwest High School,1488,Aerodynamix / Timber Creek High School,1526,0
325,Showcats / Nitro High School,1488,Illusions / Huntington High School,1506,0
326,Chromatics / Thomas Wootton High School,1485,N/A,-1,0
327,Surround Sound / Center Grove High School,1485,N/A,-1,0
328,Red Hot Blues / New Castle High School,1483,Class Royale / Homestead High School,1647,0
329,Neo Classic / Harding Middle School,1483,N/A,-1,0
330,Sound Surge / Biloxi High School,1483,Center Stage / Oak Grove High School,1615,0
331,Reveillon / Jackson Preparatory School,1482,N/A,-1,0
332,Pendletones / Pendleton Heights High School,1482,N/A,-1,0
333,High Impact / Herbert Hoover High School,1482,Illusions / Huntington High School,1506,0
334,Heat Wave / Hurricane High School,1482,Rhythm In Red / Cabell Midland High School,1614,0
335,Neptune's Angels / Columbus High School,1481,N/A,-1,0
336,Dynamix / Lincoln Northeast High School,1481,N/A,-1,0
337,Baker's Dozen / Columbus High School,1481,N/A,-1,0
338,New World Singers / Columbus High School,1481,N/A,-1,0
339,Dynamic Edition / Hastings High School,1478,N/A,-1,0
340,Royal Blues / Centennial Jr/Sr High School,1478,N/A,-1,0
341,Savage Sound FX / Savannah High School,1477,N/A,-1,0
342,The Class Act / Logan High School,1477,Northern Lights / North St. Paul High School,1545,0
343,Rhythmaires / Indian Creek High School,1476,N/A,-1,0
344,Les Femmes / Mt. Zion High School,1476,N/A,-1,0
345,South Singers / Grosse Pointe South High School,1475,N/A,-1,0
346,Aspyre / Vista PEAK Preparatory,1475,N/A,-1,0
347,Ovation / Oak Ridge Middle School,1474,Adrenaline / Taft Middle School,1572,0
348,Paradigm / Hoover High School,1474,Tiftosterone / Tift County High School,1500,0
349,Choraliers / Arlington High School,1473,N/A,-1,0
350,Legacy / Lawrence North High School,1473,Knight Sensations / Castle High School,1612,0
351,Ovations / Opelika High School,1473,N/A,-1,0
352,Momentum / Marian High School,1471,N/A,-1,0
353,Ambassadors / Clinton Junior High School,1471,N/A,-1,0
354,Broadway Bound / Boulder Creek High School,1471,N/A,-1,0
355,Harbor Lights / Kecoughtan High School,1471,N/A,-1,0
